,0
0,Alaska
1,Connecticut
2,Florida
3,Maryland
4,North Carolina
5,Maine
6,Massachusetts
7,Oregon
8,South Dakota
9,California
10,New Hampshire
11,Tennessee
12,Iowa
13,New York
14,Nebraska
15,Virginia
16,Ohio
17,North Dakota
18,Kansas
19,Oklahoma
20,Texas
21,Mississippi
22,South Carolina
23,Illinois
24,Nevada
25,Alabama
26,Missouri
27,Montana
28,Michigan
29,Rhode Island
30,New Mexico
31,West Virginia
32,Wyoming
33,Delaware
34,Arizona
35,Louisiana
36,Vermont
37,New Jersey
38,Arkansas
39,Pennsylvania
40,Colorado
41,Minnesota
42,Kentucky
43,Utah
44,Georgia
45,Wisconsin
46,Hawaii
47,Washington
48,Indiana
49,Idaho
